Mehdi	Time			Temp	SetPoint						
PID_out	751	38,5	0	550	550	100	10	100			
PID_out	752	38,6	0	550	550	100	10	100			
PID_out	753	38,7	0	550	550	100	10	100			
PID_out	754	38,8	0	550	550	100	10	100			
PID_out	755	38,9	0	550	550	100	10	100			
PID_out	756	39	0	550	550	100	10	100			
PID_out	757	39,1	0	550	550	100	10	100			
PID_out	758	39,2	0	550	550	100	10	100			
PID_out	759	39,3	0	550	550	100	10	100			
PID_out	760	39,4	0	550	550	100	10	100			
PID_out	761	39,5	0	550	550	100	10	100			
PID_out	762	39,6	-531	550	200	100	10	100			
PID_out	775	40,9	-393	452	200	100	10	100			
PID_out	785	41,9	-296	379	200	100	10	100			
PID_out	793	42,7	-225	325	200	100	10	100			
PID_out	799	43,3	-168	283	200	100	10	100			
PID_out	803	43,7	-126	252	200	100	10	100			
PID_out	807	44,1	-93	228	200	100	10	100			
PID_out	810	44,4	-69	211	200	100	10	100			
PID_out	812	44,6	-50	198	200	100	10	100			
PID_out	814	44,8	-36	189	200	100	10	100			
PID_out	815	44,9	-25	182	200	100	10	100			
PID_out	816	45	-19	178	200	100	10	100			
PID_out	817	45,1	-12	174	200	100	10	100			
PID_out	818	45,2	-7	172	200	100	10	100			
PID_out	819	45,3	-4	171	200	100	10	100			
PID_out	820	45,4	-1	170	200	100	10	100			
PID_out	821	45,5	0	170	200	100	10	100			
PID_out	822	45,6	1	170	200	100	10	100			
PID_out	823	45,7	2	170	200	100	10	100			
PID_out	824	45,8	4	170	200	100	10	100			
PID_out	825	45,9	4	171	200	100	10	100			
PID_out	826	46	3	172	200	100	10	100			
PID_out	827	46,1	5	172	200	100	10	100			
PID_out	828	46,2	5	173	200	100	10	100			
PID_out	829	46,3	5	174	200	100	10	100			
PID_out	830	46,4	4	175	200	100	10	100			
PID_out	831	46,5	4	176	200	100	10	100			
PID_out	832	46,6	4	177	200	100	10	100			
PID_out	833	46,7	5	177	200	100	10	100			
PID_out	834	46,8	5	178	200	100	10	100			
PID_out	835	46,9	4	179	200	100	10	100			
PID_out	836	47	4	180	200	100	10	100			
PID_out	837	47,1	3	181	200	100	10	100			
PID_out	838	47,2	4	181	200	100	10	100			
PID_out	839	47,3	4	182	200	100	10	100			
PID_out	840	47,4	3	183	200	100	10	100			
PID_out	841	47,5	4	183	200	100	10	100			
PID_out	842	47,6	3	184	200	100	10	100			
PID_out	843	47,7	3	185	200	100	10	100			
PID_out	844	47,8	3	185	200	100	10	100			
PID_out	845	47,9	3	186	200	100	10	100			
PID_out	846	48	3	186	200	100	10	100			
PID_out	847	48,1	3	187	200	100	10	100			
PID_out	848	48,2	3	187	200	100	10	100			
PID_out	849	48,3	2	188	200	100	10	100			
PID_out	850	48,4	3	188	200	100	10	100			
PID_out	851	48,5	2	189	200	100	10	100			
PID_out	852	48,6	3	189	200	100	10	100			
PID_out	853	48,7	2	190	200	100	10	100			
PID_out	854	48,8	2	190	200	100	10	100			
PID_out	855	48,9	1	191	200	100	10	100			
PID_out	856	49	2	191	200	100	10	100			
PID_out	857	49,1	2	191	200	100	10	100			
PID_out	858	49,2	1	192	200	100	10	100			
PID_out	859	49,3	1	192	200	100	10	100			
PID_out	860	49,4	2	192	200	100	10	100			
PID_out	861	49,5	2	192	200	100	10	100			
PID_out	862	49,6	1	193	200	100	10	100			
PID_out	863	49,7	1	193	200	100	10	100			
PID_out	864	49,8	2	193	200	100	10	100			
